"Point Set Index","Point Set Label","Point Index","Position X","Position Y","Position Z"
1,"Point Set 1",1,-0.429067,-0.842365,-1.28816
1,"Point Set 1",2,-0.49222,-0.828582,-1.089
1,"Point Set 1",3,-0.301756,-0.802206,-1.56247
1,"Point Set 1",4,-0.22548,-0.871485,-1.17613
1,"Point Set 1",5,-0.623126,-0.846507,-1.33791
1,"Point Set 1",6,0.148182,-0.608464,-1.61724
1,"Point Set 1",7,-0.131023,-0.553108,-1.95354
1,"Point Set 1",8,-0.578531,-0.573358,-1.93919
1,"Point Set 1",9,0.119569,-0.612077,-1.75451
1,"Point Set 1",10,0.0821408,-0.605034,-1.79877
1,"Point Set 1",11,0.193549,-0.633624,-1.71481
1,"Point Set 1",12,-0.422892,-0.581432,-1.897
1,"Point Set 1",13,-0.407929,-0.554255,-1.99983
1,"Point Set 1",14,-0.41603,-0.539038,-1.90458
1,"Point Set 1",15,-0.452869,-1.37192,-1.73918
1,"Point Set 1",16,-0.355503,-0.726015,-1.94186
1,"Point Set 1",17,0.0411362,-0.606845,-1.72394
1,"Point Set 1",18,0.0526861,-0.601117,-1.7432
1,"Point Set 1",19,0.0306886,-0.61993,-1.68418
1,"Point Set 1",20,0.0160642,-1.34689,-1.60608
1,"Point Set 1",21,0.00744752,-0.720932,-1.94789
1,"Point Set 1",22,0.138424,-0.751346,-1.89976
1,"Point Set 1",23,0.381953,-0.747461,-1.83179
1,"Point Set 1",24,0.502376,-0.764364,-2.22365
1,"Point Set 1",25,0.431242,-0.721557,-2.31501
1,"Point Set 1",26,0.0909287,-0.667647,-2.47951
1,"Point Set 1",27,-0.274148,-0.677218,-2.6158
1,"Point Set 1",28,-0.348321,-0.711589,-2.58354
1,"Point Set 1",29,-0.57442,-0.741919,-2.27578
1,"Point Set 1",30,-0.506122,-0.76556,-2.21116
1,"Point Set 1",31,-0.389398,-0.779098,-2.1491
1,"Point Set 1",32,-0.259623,-0.728086,-2.08955
1,"Point Set 1",33,-0.692371,-0.818588,-0.719977
1,"Point Set 1",34,-0.966727,-1.42448,-1.28222
1,"Point Set 1",35,-0.48539,-1.35823,-2.45489
1,"Point Set 1",36,0.446814,-1.38154,-2.05471
1,"Point Set 1",37,-0.10897,-1.43853,-0.88113
1,"Point Set 1",38,-0.0852785,-1.4814,-1.43148
1,"Point Set 1",39,0.100302,-0.597552,-1.65453
