Point Set Index,Point Set Label,Point Index,Position X,Position Y,Position Z
1,Point Set 1,1,-0.140257,-0.882242,-1.66163
1,Point Set 1,2,0.239861,-0.793338,-1.9989
1,Point Set 1,3,-0.355175,-0.810681,-1.4605
1,Point Set 1,4,-0.14831,-0.873968,-1.89386
1,Point Set 1,5,0.102602,-0.87047,-1.62968
1,Point Set 1,6,-0.780059,-0.570383,-1.709
1,Point Set 1,7,-0.650918,-0.630847,-1.21327
1,Point Set 1,8,-0.225004,-0.53239,-1.01193
1,Point Set 1,9,-0.79821,-0.57659,-1.53951
1,Point Set 1,10,-0.792558,-0.568791,-1.49609
1,Point Set 1,11,-0.851801,-0.605485,-1.63116
1,Point Set 1,12,-0.401793,-0.497522,-1.06998
1,Point Set 1,13,-0.463597,-0.547127,-1.13838
1,Point Set 1,14,-0.375615,-0.506577,-1.07533
1,Point Set 1,15,-0.272766,-1.05079,-1.12368
1,Point Set 1,16,-0.429487,-0.813142,-1.02836
1,Point Set 1,17,-0.741124,-0.569418,-1.49395
1,Point Set 1,18,-0.768913,-0.571601,-1.48319
1,Point Set 1,19,-0.710355,-0.56945,-1.52519
1,Point Set 1,20,-0.637605,-1.30738,-1.70361
1,Point Set 1,21,-0.929091,-0.725069,-1.33169
1,Point Set 1,22,-1.07908,-0.737469,-1.49072
1,Point Set 1,23,-1.26231,-0.744623,-1.3302
1,Point Set 1,24,-1.33031,-0.749293,-1.27158
1,Point Set 1,25,-1.23232,-0.760388,-1.04018
1,Point Set 1,26,-1.18641,-0.762415,-0.909404
1,Point Set 1,27,-1.01187,-0.762988,-0.710742
1,Point Set 1,28,-0.662581,-0.742614,-0.514711
1,Point Set 1,29,-0.406706,-0.725345,-0.729206
1,Point Set 1,30,-0.489856,-0.734559,-0.861671
1,Point Set 1,31,-0.558522,-0.716884,-0.980715
1,Point Set 1,32,-0.514624,-0.77253,-0.927762
1,Point Set 1,33,0.49468,-0.690912,-2.20996
1,Point Set 1,34,0.588686,-1.45152,-1.58017
1,Point Set 1,35,-0.523123,-1.43582,-0.588394
1,Point Set 1,36,-1.33816,-1.4325,-1.31904
1,Point Set 1,37,-0.167587,-1.46698,-2.41608
1,Point Set 1,38,-0.496124,-1.30738,-1.75449
1,Point Set 1,39,-0.768412,-0.534433,-1.59405
